Stock,Model,Accuracy,Precision,Recall,F1,AUC,Rank
2454.TW_聯發科,LightGBM,0.8995433789954338,1.0,0.043478260869565216,0.08333333333333333,,1
2408.TW_南亞科,LightGBM,0.730593607305936,0.07692307692307693,0.020833333333333332,0.03278688524590164,,2
2303.TW_聯電,Random Forest,0.91324200913242,0.0,0.0,0.0,,3
2303.TW_聯電,XGBoost,0.91324200913242,0.0,0.0,0.0,,4
2303.TW_聯電,LightGBM,0.91324200913242,0.0,0.0,0.0,,5
2308.TW_台達電,Random Forest,0.8584474885844748,0.0,0.0,0.0,,6
2308.TW_台達電,XGBoost,0.8584474885844748,0.0,0.0,0.0,,7
2308.TW_台達電,LightGBM,0.8584474885844748,0.0,0.0,0.0,,8
2327.TW_國巨,Random Forest,0.8767123287671232,0.0,0.0,0.0,,9
2327.TW_國巨,XGBoost,0.8767123287671232,0.0,0.0,0.0,,10
2327.TW_國巨,LightGBM,0.8767123287671232,0.0,0.0,0.0,,11
2408.TW_南亞科,Random Forest,0.7808219178082192,0.0,0.0,0.0,,12
2408.TW_南亞科,XGBoost,0.771689497716895,0.0,0.0,0.0,,13
2454.TW_聯發科,Random Forest,0.8949771689497716,0.0,0.0,0.0,,14
2454.TW_聯發科,XGBoost,0.8949771689497716,0.0,0.0,0.0,,15
3037.TW_欣興,Random Forest,0.8036529680365296,0.0,0.0,0.0,,16
3037.TW_欣興,XGBoost,0.8036529680365296,0.0,0.0,0.0,,17
3037.TW_欣興,LightGBM,0.7945205479452054,0.0,0.0,0.0,,18
3105.TWO_穩懋,Random Forest,0.817351598173516,0.0,0.0,0.0,,19
3105.TWO_穩懋,XGBoost,0.817351598173516,0.0,0.0,0.0,,20
3105.TWO_穩懋,LightGBM,0.8127853881278538,0.0,0.0,0.0,,21
3491.TWO_昇達科,Random Forest,0.8401826484018264,0.0,0.0,0.0,,22
3491.TWO_昇達科,XGBoost,0.8401826484018264,0.0,0.0,0.0,,23
3491.TWO_昇達科,LightGBM,0.8356164383561644,0.0,0.0,0.0,,24
6239.TW_力成,Random Forest,0.8995433789954338,0.0,0.0,0.0,,25
6239.TW_力成,XGBoost,0.8995433789954338,0.0,0.0,0.0,,26
6239.TW_力成,LightGBM,0.8858447488584474,0.0,0.0,0.0,,27
6789.TW_采鈺,Random Forest,0.8995433789954338,0.0,0.0,0.0,,28
6789.TW_采鈺,XGBoost,0.8995433789954338,0.0,0.0,0.0,,29
6789.TW_采鈺,LightGBM,0.8036529680365296,0.0,0.0,0.0,,30
